kecamatan,kelas_then_1,kelas_then_2,kelas_now_1,kelas_now_2,luas
Tebet,Lahan Kosong Berpenghuni,Belum Terbangun,Jalan,Terbangun,5.5274581532167
Tebet,Jalan,Terbangun,Jalan,Terbangun,1.36087075735164
Tebet,Rel,Terbangun,Jalan,Terbangun,1.11417726606421
Tebet,Kampung,Terbangun,Jalan,Terbangun,2.24043128057737
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.9640377641539
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960189804504177
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.963203688850425
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.985551934583405
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960702424779611
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960122633869724
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960532813850983
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960122633948417
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.961353337398608
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.961250875944255
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.964180913410187
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.964753466042371
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.991293792820843
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960229112771642
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960122633855894
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.96012263385459
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.96042660877567
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960331065837639
Tebet,Kebun/Lahan Kosong,Belum Terbangun,Jalan,Terbangun,0.960177070815235
